앱 확장 소재,앱 확장 소재 유형,캠페인,광고그룹,일,전환,통화 코드,비용,노출수,클릭수,Revenue,유형,사이즈,투입일,시기,USP,Concept,언어,파일명,소재명,링크,hooking_strategy,audio_elements_bgm,audio_elements_sfx_emphasized,audio_elements_narration,audio_elements_cv,text_analysis_extracted_copy,text_analysis_core_usp,title_specific_system,title_specific_mechanic,title_specific_faction_race,title_specific_identified_character,title_specific_theme,title_specific_special_note,gameplay,visual_technique,environment,emotion,character_object,art_style,marketer_insight
Cute but Powerful Squad,광고 제목,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,2,KRW,1857,23,4,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let’s Hunt for Treasure!,광고 제목,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,0,KRW,106,32,0,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepp Heroes,광고 제목,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,2,KRW,6401,33,2,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Play for Free,광고 제목,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,1,KRW,1621,33,3,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Your RPG, In Your Hands",광고 제목,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,0,KRW,68,29,0,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adorable Yet Powerful! Collect Heroes With Diverse Charms,설명,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,0,KRW,163,22,0,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clock Out and Start Your Treasure Hunt!,설명,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,4,KRW,3244,41,6,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Rewards Worth $100! Play Now!,설명,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,0,KRW,150,48,0,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strategic Battles With Heroes Full of Personality! Win With Your Own Squad,설명,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,0,KRW,98,16,0,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique Hero Skills and Synergies! The Collectible RPG of Endless Team Combinations,설명,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,1,KRW,243,61,1,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251104_BNR_A-Character-Adventure01A-DA_L_1200x628_EN.jpg;https://tpc.googlesyndication.com/simgad/7852267225455295083,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,9,KRW,69670,244,18,"28,001.02",BNR,가로형,2025-11-04,A,Character,Adventure01A,EN,251104_BNR_A-Character-Adventure01A-DA_L_1200x628_EN,A-Character-Adventure01A-DA,https://tpc.googlesyndication.com/simgad/7852267225455295083,"비주얼 임팩트, 캐릭터/유닛 외형",,,,,PEPP HEROES,"아트 퀄리티, 캐릭터, 수집형RPG","5인 분대 전투, 수집형 RPG",,"마그 탐험대, 고블린",카르벨(Karbel),렐릭 탐험 어드벤처,2.5D 입체 월드 강조,"전투 및 액션, 탐험 및 발견",텍스트 오버레이,자연/야외 미학,"도전과 승부욕, 수집욕/소유욕","인간형 영웅, SD/치비 캐릭터, 거대 보스","2.5D 입체 그래픽, 2D 일러스트",와이드 뷰로 보스 대립 및 레이드 강조. 소부대 전투의 스케일감으로 타겟 공략. SNS 최적화와 보상 정보 추가로 유입 및 전환 극대화.
251104_BNR_A-Character-Adventure01A-DA_S_1200x1200_EN.jpg;https://tpc.googlesyndication.com/simgad/13260462268912176542,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,0,KRW,0,17,0,0,BNR,정방형,2025-11-04,A,Character,Adventure01A,EN,251104_BNR_A-Character-Adventure01A-DA_S_1200x1200_EN,A-Character-Adventure01A-DA,https://tpc.googlesyndication.com/simgad/13260462268912176542,"비주얼 임팩트, 캐릭터/유닛 외형",,,,,PEPP HEROES,"아트 퀄리티, 캐릭터, 수집형RPG","5인 분대 전투, 수집형 RPG",,"마그 탐험대, 고블린",카르벨(Karbel),렐릭 탐험 어드벤처,2.5D 입체 월드 강조,"전투 및 액션, 탐험 및 발견",텍스트 오버레이,자연/야외 미학,"참여와 임장감, 수집욕/소유욕","인간형 영웅, SD/치비 캐릭터, 거대 보스","2.5D 입체 그래픽, 2D 일러스트",독창적인 2.5D 비주얼과 코어한 전투 재미로 RPG 유저 공략. 북미·글로벌 시장의 높은 CTR을 기반으로 SSR 소환 연출을 활용해 CVR 최적화.
